2026-07-05 17:00:03 | ACCESS | 127.0.0.1       "POST /api/v1/auth/token HTTP/1.1" 200 265.5ms | curl/8.19.0
2026-07-05 17:00:59 | ACCESS | 127.0.0.1       "POST /api/v1/auth/token HTTP/1.1" 200 285.1ms | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
2026-07-05 17:01:08 | ACCESS | 127.0.0.1       "POST /api/v1/auth/token HTTP/1.1" 200 266.1ms | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
2026-07-05 17:01:14 | ACCESS | 127.0.0.1       "GET /api/v1/tenants HTTP/1.1" 200 13.2ms | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
2026-07-05 19:49:27 | ACCESS | 127.0.0.1       "POST /api/v1/auth/token HTTP/1.1" 200 303.5ms | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
2026-07-05 19:49:32 | ACCESS | 127.0.0.1       "GET /api/v1/health HTTP/1.1" 200 1.2ms | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
2026-07-06 11:56:19 | ACCESS | 127.0.0.1       "GET /metrics HTTP/1.1" 200 0.9ms | -
2026-07-06 11:56:31 | ACCESS | 127.0.0.1       "POST /api/v1/auth/token HTTP/1.1" 200 236.1ms | -
2026-07-06 11:56:31 | ACCESS | 127.0.0.1       "GET /metrics HTTP/1.1" 200 1.0ms | -
2026-07-06 12:39:50 | ACCESS | 127.0.0.1       "GET /mestres HTTP/1.1" 404 0.8ms | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
2026-07-06 12:39:50 | ACCESS | 127.0.0.1       "GET /favicon.ico HTTP/1.1" 404 0.8ms | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
